Thema;Frage;Typ;AntwortA;AntwortB;AntwortC;AntwortD;Richtig;Erklaerung
VwVfG;Welche der folgenden Merkmale gehören zum Verwaltungsaktbegriff?;multi;Hoheitliche Maßnahme;Behörde;Regelung;Außenwirkung;"A;B;C;D";Zum Verwaltungsakt gehören hoheitliche Maßnahme, Erlass durch Behörde, Regelungscharakter und Außenwirkung. !!! Klassiker in Prüfungen.
VwVfG;Welche Aussage zur Außenwirkung eines Verwaltungsakts ist zutreffend?;single;Sie liegt nur vor, wenn mehrere Behörden beteiligt sind;Außenwirkung liegt vor, wenn der Verwaltungsakt Rechtswirkungen gegenüber einer außerhalb der Verwaltung stehenden Person entfaltet;Außenwirkung bedeutet nur interne Wirkung innerhalb einer Behörde;Außenwirkung ist nur bei Geldleistungen erforderlich;B;Außenwirkung liegt vor, wenn der Verwaltungsakt gegenüber einer Person wirkt, die nicht Teil derselben Verwaltungseinheit ist.
VwVfG;Wann wird ein schriftlicher Verwaltungsakt grundsätzlich wirksam?;single;Bereits mit der Unterschrift der Sachbearbeiterin;Mit Eingang beim Rechtsamt;Mit seiner Bekanntgabe gegenüber dem Adressaten;Erst nach einem Monat;C;Nach § 43 VwVfG wird ein Verwaltungsakt grundsätzlich mit der Bekanntgabe gegenüber dem Betroffenen wirksam.
VwVfG;Welche Form ist für einen Verwaltungsakt zwingend vorgeschrieben?;single;Immer schriftlich;Immer mündlich;Schriftlich, elektronisch, mündlich oder in anderer Weise, soweit gesetzlich nicht anders bestimmt;Nur per E-Mail;C;Grundsätzlich ist der Verwaltungsakt formfrei (schriftlich, elektronisch, mündlich, konkludent) möglich, sofern kein besonderes Formerfordernis besteht (§ 37 VwVfG).
VwVfG;Welche Bestandteile gehören typischerweise zu einem schriftlichen Verwaltungsakt?;multi;Tenor (Regelung);Begründung;Rechtsbehelfsbelehrung;Handelsregisterauszug;"A;B;C";Ein schriftlicher VA enthält regelmäßig Tenor, Begründung und Rechtsbehelfsbelehrung. !!! Häufiges Prüfungsthema.
VwVfG;Was versteht man unter Nebenbestimmungen zu einem Verwaltungsakt?;single;Unverbindliche Hinweise ohne Rechtscharakter;Zusätzliche Regelungen wie Auflagen oder Bedingungen, die den Hauptverwaltungsakt ergänzen;Nur die Rechtsbehelfsbelehrung;Die interne Geschäftsverteilung;B;Nebenbestimmungen sind zusätzliche Regelungen (z. B. Auflagen, Bedingungen) nach § 36 VwVfG, die den Inhalt des VA ausgestalten.
VwVfG;Welche der folgenden Beispiele ist eine Auflage im Sinne des § 36 VwVfG?;single;„Die Genehmigung wird wirksam, wenn die Gebühr gezahlt ist.“;„Die Genehmigung gilt nur befristet bis zum 31.12.“;„Der Betreiber hat jährlich einen Emissionsbericht vorzulegen.“;„Die Genehmigung ergeht unter Widerrufsvorbehalt.“;C;Eine Auflage ist eine zusätzliche Verpflichtung zum Tun, Dulden oder Unterlassen (z. B. jährlicher Bericht).
VwVfG;Wann wird ein Verwaltungsakt bestandskräftig?;single;Wenn er mündlich erklärt wurde;Wenn er behördenintern abgestimmt ist;Wenn die Rechtsbehelfsfrist abgelaufen ist und kein Rechtsbehelf eingelegt wurde;Bereits mit der Bekanntgabe;C;Ein VA wird formell bestandskräftig, wenn die Rechtsbehelfsfrist abläuft, ohne dass ein zulässiger Rechtsbehelf eingelegt wird.
VwVfG;Welche Rechtsbehelfe sind gegen einen belastenden Verwaltungsakt typischerweise gegeben (Allg. Verwaltungsrecht)?;multi;Widerspruch;Klage zum Verwaltungsgericht;Berufung zum Landgericht;Dienstaufsichtsbeschwerde;"A;B";"Gegen einen Verwaltungsakt können in der Regel Widerspruch und danach Anfechtungsklage zum Verwaltungsgericht erhoben werden; die Dienstaufsichtsbeschwerde ist kein förmlicher Rechtsbehelf."
KrWG;Welches Ziel verfolgt das Kreislaufwirtschaftsgesetz (KrWG) vorrangig?;single;Sicherung des Außenhandels;Förderung der Abfallverbrennung;Förderung der Kreislaufwirtschaft zur Schonung der natürlichen Ressourcen sowie Schutz von Mensch und Umwelt;Regelung des Zivilrechts;C;Zweck des KrWG ist die Förderung der Kreislaufwirtschaft zur Schonung der natürlichen Ressourcen und der Schutz von Mensch und Umwelt (§ 1 KrWG).
KrWG;Wie ist „Abfall“ im Sinne des KrWG im Grundsatz zu verstehen?;single;Jeder Stoff, der gefährlich ist;Jeder Stoff, dessen sich der Besitzer entledigt, entledigen will oder entledigen muss;Nur Hausmüll;Nur industrielle Reststoffe;B;Abfall ist jeder Stoff, dessen sich der Besitzer entledigt, entledigen will oder entledigen muss (§ 3 KrWG). !!! Abfallbegriff ist prüfungsrelevant.
KrWG;Welche Stufen umfasst die Abfallhierarchie nach § 6 KrWG (vereinfachte Darstellung)?;multi;Abfallvermeidung;Vorbereitung zur Wiederverwendung und Recycling;Sonstige Verwertung;Beseitigung;"A;B;C;D";Die Abfallhierarchie umfasst nacheinander Vermeidung, Vorbereitung zur Wiederverwendung, Recycling, sonstige Verwertung und erst danach Beseitigung.
KrWG;Welche Pflicht trifft den Abfallbesitzer nach KrWG grundsätzlich?;single;Er darf Abfälle nur im Ausland entsorgen;Er hat Abfälle vorrangig zu beseitigen;Er hat Abfälle ordnungsgemäß, schadlos und vorrangig zur Verwertung zu überlassen oder zu behandeln;Er hat Abfälle ausschließlich zu verbrennen;C;Abfallbesitzer müssen Abfälle ordnungsgemäß und schadlos behandeln und die Verwertung vor der Beseitigung beachten (§§ 7, 15 KrWG).
KrWG;Welche Aussagen zur Produktverantwortung nach KrWG treffen zu?;multi;Hersteller sollen Produkte so gestalten, dass Abfälle vermieden werden;Produktverantwortung umfasst auch Rücknahme- und Verwertungspflichten;Produktverantwortung betrifft nur Privatpersonen;Produktverantwortung ist ein zentrales Steuerungsinstrument des KrWG;"A;B;D";"Die Produktverantwortung verpflichtet Hersteller u. a. zu abfallarmen Produktgestaltungen, ggf. Rücknahme- und Verwertungspflichten; sie ist ein Kerninstrument des KrWG."
KrWG;Was ist unter kommunaler Überlassungspflicht für Abfälle aus privaten Haushalten zu verstehen?;single;Abfälle müssen direkt an die Industrie gegeben werden;Abfälle aus privaten Haushalten sind dem öffentlich-rechtlichen Entsorgungsträger zu überlassen;Es besteht keine Pflicht, Abfälle abzugeben;Abfälle dürfen nur beim Umweltbundesamt abgegeben werden;B;Bestimmte Abfälle aus privaten Haushalten sind dem öffentlich-rechtlichen Entsorgungsträger (örE) zu überlassen (§ 17 KrWG).
KrWG;Welche Abfälle gelten typischerweise als „gefährliche Abfälle“?;single;Nur Bioabfälle;Abfälle mit bestimmten gefährlichen Eigenschaften (z. B. giftig, entzündlich) gemäß Abfallverzeichnis-Verordnung;Alle Abfälle aus Haushalten;Nur Bau- und Abbruchabfälle;B;Gefährliche Abfälle sind in der Abfallverzeichnis-Verordnung gekennzeichnet (Gefährlichkeitsmerkmal).
KrWG;Welche Pflichten bestehen bei der Getrenntsammlung von Abfällen aus Haushalten nach KrWG (vereinfachte Darstellung)?;multi;Getrennte Sammlung von Papier, Metall, Kunststoff und Glas;Getrennte Sammlung von Bioabfällen;Verpflichtung, alle Abfälle in eine Tonne zu werfen;Förderung der Getrenntsammlung durch örE;"A;B;D";"KrWG und nachfolgende Regelungen verlangen z. B. Getrenntsammlung bestimmter Fraktionen (Papier, Metall, Kunststoff, Glas, Bioabfälle); örE haben die Systeme bereitzustellen."
KrWG;Was ist ein „Entsorgungsfachbetrieb“ im Sinne des KrWG?;single;Ein Betrieb, der ausschließlich Recyclinganlagen plant;Ein zertifizierter Betrieb, der bestimmte Entsorgungsleistungen eigenverantwortlich und fachkundig erbringt;Jede kommunale Müllabfuhr;Ein Unternehmen, das Abfälle exportiert;B;Entsorgungsfachbetriebe sind zertifizierte Betriebe, die bestimmte Entsorgungsleistungen fachkundig und zuverlässig erbringen (§ 56 f. KrWG).
KrWG;Welche Instrumente verwendet das KrWG zur Sicherstellung der ordnungsgemäßen Entsorgung?;multi;Nachweis- und Registerpflichten;Überwachung durch Behörden;Bauordnungsrechtliche Genehmigungen;Ordnungswidrigkeiten- und Strafvorschriften;"A;B;D";Zur Sicherstellung der ordnungsgemäßen Entsorgung gibt es u. a. Nachweis-/Registerpflichten, behördliche Überwachung sowie Ordnungswidrigkeiten- und Strafvorschriften.
WHG;Welches Ziel verfolgt das Wasserhaushaltsgesetz (WHG) im Kern?;single;Sicherung der Straßeninfrastruktur;Ordnungsgemäße Bewirtschaftung der Gewässer und Schutz des Wasserhaushalts;Förderung des Außenhandels;Regelung des Arbeitsrechts;B;Das WHG regelt die Bewirtschaftung der Gewässer und den Schutz des Wasserhaushalts als öffentliches Gut (§ 1 WHG).
WHG;Welche Gewässerarten unterscheidet das WHG (vereinfachte Darstellung)?;multi;Oberirdische Gewässer;Grundwasser;Meerwasser im Küstenbereich;Nur Badeseen;"A;B;C";Das WHG gilt u. a. für oberirdische Gewässer, Grundwasser und bestimmte Küstengewässer (§ 2 WHG).
WHG;Was ist eine „Benutzung“ eines Gewässers im Sinne des WHG (Beispiele)?;multi;Entnehmen und Ableiten von Wasser;Einleiten von Stoffen in ein Gewässer;Errichten von Anlagen, die den Wasserabfluss beeinflussen;Spazierengehen am Ufer;"A;B;C";Als Benutzung gelten u. a. Wasserentnahme, Einleitung von Stoffen und Maßnahmen, die den Wasserabfluss beeinflussen (§ 9 WHG).
WHG;Welche Benutzung eines Gewässers ist in der Regel erlaubnispflichtig?;single;Baden und Schwimmen;Entnahme größerer Wassermengen zur industriellen Nutzung;Spazierengehen am Ufer;Fotografieren des Gewässers;B;Wesentliche Gewässerbenutzungen, z. B. Entnahme größerer Wassermengen, bedürfen einer Erlaubnis oder Bewilligung (§ 8, § 9, § 10 WHG).
WHG;Was versteht man unter dem Grundsatz der „guten wasserwirtschaftlichen Praxis“?;single;Beliebige Nutzung ohne Rücksicht auf Umwelt;Verantwortungsvolle Nutzung und Bewirtschaftung von Gewässern unter Beachtung fachlicher Standards;Nur wirtschaftliche Nutzung des Wassers;Nur Schutz der Fischerei;B;Die gute wasserwirtschaftliche Praxis verlangt eine verantwortungsvolle Bewirtschaftung der Gewässer unter Berücksichtigung fachlicher Standards und Umweltbelange.
WHG;Welche Ziele verfolgt das WHG in Umsetzung der EU-Wasserrahmenrichtlinie?;multi;Erreichen eines guten Zustands der Gewässer;Schutz und Verbesserung der aquatischen Ökosysteme;Förderung ungehemmter Wasserentnahmen;Vermeidung weiterer Verschlechterungen des Gewässerzustands;"A;B;D";Das WHG setzt u. a. die Ziele der EU-WRRL um: guter Zustand der Gewässer, Schutz/Verbesserung der Ökosysteme und Verschlechterungsverbot.
WHG;Welche Behörde ist typischerweise für wasserrechtliche Erlaubnisse für Anlagen in und an Gewässern zuständig (Landesebene, beispielhaft)?;single;Finanzamt;Untere Wasserbehörde (z. B. Kreis/kreisfreie Stadt) je nach Landesrecht;Europäische Kommission;Bundesrat;B;"In vielen Fällen sind die unteren Wasserbehörden (Kreise/kreisfreie Städte) zuständig; im Einzelfall bestimmt das jeweilige Landesrecht die Zuständigkeit."
WHG;Welche Maßnahmen können bei Verstößen gegen wasserrechtliche Pflichten ergriffen werden?;multi;Anordnungen zur Herstellung des rechtmäßigen Zustands;Widerruf oder Rücknahme von Erlaubnissen;Keine Maßnahmen, da Wasser ein Allgemeingut ist;Ordnungswidrigkeiten- oder Strafverfahren;"A;B;D";Bei Verstößen kann die Behörde Anordnungen treffen, Erlaubnisse widerrufen oder zurücknehmen sowie Ordnungswidrigkeiten-/Strafverfahren einleiten.
WHG;Was sind typische Inhalte wasserrechtlicher Erlaubnisse für Einleitungen in ein Gewässer?;multi;Festlegung von Grenzwerten für eingeleitete Stoffe;Anforderungen an Mess- und Überwachungspflichten;Regelung der Kommunalwahl;Vorgaben zu Betriebs- und Dokumentationspflichten;"A;B;D";Erlaubnisse enthalten z. B. Grenzwerte, Überwachungsauflagen und Betriebs-/Dokumentationspflichten zur Sicherung des Gewässerschutzes.
WHG;Welche Grundprinzipien prägen das Wasserrecht (vereinfacht)?;multi;Schutz des Wasserhaushalts;Vorsorgeprinzip;Verursacherprinzip;Ausschließlich wirtschaftliche Nutzung;"A;B;C";Das Wasserrecht wird wesentlich durch Schutz des Wasserhaushalts, Vorsorge- und Verursacherprinzip geprägt.
WHG;Wonach richtet sich in NRW die Zuständigkeit der Bezirksregierung für die Erteilung einer wasserrechtlichen Erlaubnis?;single;Nach der Gemeindeordnung, weil die Bezirksregierung dort als oberste Wasserbehörde bezeichnet ist.;Nach § 2 Abs. 1 ZustVU i.V.m. dem in § 2 Abs. 2 ZustVU geregelten Zaunprinzip.;Ausschließlich nach § 1 Abs. 2 Nr. 2 ZustVU, da dort die Umweltschutzbehörden definiert sind.;Nach dem WHG, weil jede wasserrechtliche Erlaubnis automatisch bei der Bezirksregierung zu beantragen ist.;B;"Die Zuständigkeit ergibt sich aus § 2 Abs. 1 ZustVU; § 2 Abs. 2 ZustVU ordnet das Zaunprinzip an, wonach innerhalb eines virtuellen Zauns für alle Umweltbelange nur eine Umweltbehörde zuständig ist."
VwVfG;Welche der folgenden Aufzählungen enthält ausschließlich zwingende Bestandteile eines Bescheids?;single;Kopf, Tenor, Gründe, Rechtsbehelfsbelehrung, Unterschrift;Kopf, Tenor, Gründe, Rechtsbehelfsbelehrung, Grußformel, Unterschrift;Kopf, Verfügung, Gründe, Anlagenverzeichnis, Unterschrift;Tenor, Gründe, Kostenvermerk, Rechtsbehelfsbelehrung, Unterschrift;B;"Ein Bescheid enthält zwingend Kopf, Tenor, Gründe, Rechtsbehelfsbelehrung, Grußformel und Unterschrift; nur Antwort B bildet diese Bestandteile vollständig ab."
VwVfG;Welche der folgenden Begriffe bezeichnen Nebenbestimmungen im Sinne des § 36 Abs. 2 VwVfG NRW?;multi;Befristung;Bedingung;Widerrufsvorbehalt;Auflage;"A;B;C;D";"§ 36 Abs. 2 VwVfG nennt u.a. Befristung, Bedingung, Widerrufsvorbehalt und Auflage als Nebenbestimmungen; alle vier genannten Begriffe sind daher richtig."
VwVfG;Wann ist ein Verwaltungsakt nach § 37 VwVfG NRW hinreichend bestimmt?;single;Wenn der Betroffene erkennen kann, dass die Behörde überhaupt tätig geworden ist, auch ohne den Inhalt genau zu verstehen.;Wenn der Betroffene klar und vollständig erkennen kann, wer ihm gegenüber was anordnet oder verlangt.;Wenn der Tenor des Verwaltungsakts knapp gehalten ist, um Missverständnisse zu vermeiden.;Wenn der Verwaltungsakt innerhalb eines Monats nach Antragstellung erlassen wurde.;B;Bestimmt ist ein Verwaltungsakt, wenn der Adressat eindeutig erkennen kann, wer ihm gegenüber welche Anordnung trifft und wovon genau er betroffen ist.
VwVfG;Was versteht man im Verwaltungsrecht unter Ermessen?;single;Die Freiheit der Behörde, ohne gesetzliche Grundlage nach Belieben zu entscheiden.;Den gesetzlich eingeräumten Entscheidungsspielraum der Behörde, ob und wie sie tätig wird, soweit die Norm dies mit Formulierungen wie „kann“ oder „darf“ vorsieht.;Die Pflicht der Behörde, in jedem Einzelfall zu handeln, sobald der Tatbestand einer Norm erfüllt ist.;Die Möglichkeit des Betroffenen, sich die für ihn günstigste Rechtsfolge auszusuchen.;B;Ermessen ist ein auf der Rechtsfolgenseite ausdrücklich eingeräumter Entscheidungsspielraum der Verwaltung zur Entscheidung über Ob und Wie des Tätigwerdens.
WHG;Wo ist das behördliche Ermessen im Zusammenhang mit wasserrechtlichen Entscheidungen ausdrücklich geregelt?;single;In § 12 Abs. 2 WHG und § 100 WHG i.V.m. § 40 VwVfG NRW.;Ausschließlich in § 40 VwVfG NRW, das WHG enthält hierzu keine Regelungen.;Nur in § 12 Abs. 2 WHG, da das VwVfG auf Wasserrecht nicht anwendbar ist.;Im Grundgesetz, Art. 20 GG, ohne einfachgesetzliche Ausgestaltung.;A;Für wasserrechtliche Entscheidungen ergeben sich Ermessensspielräume insbesondere aus § 12 Abs. 2 WHG und § 100 WHG, ergänzt durch § 40 VwVfG NRW zur pflichtgemäßen Ermessensausübung.
VwVfG;Welche der folgenden Begriffe zählen typischerweise zu den Ermessensfehlern, die zur Rechtswidrigkeit eines Verwaltungsakts führen können?;multi;Ermessensnichtgebrauch;Ermessensfehlgebrauch;Ermessensüberschreitung;Ermessensreduzierung auf Null;"A;B;C;D";"Klassische Ermessensfehler sind Ermessensnichtgebrauch, Ermessensfehlgebrauch und Ermessensüberschreitung; bei Ermessensreduzierung auf Null wäre jede andere Entscheidung als die einzig sachgerechte ermessensfehlerhaft."
VwVfG;Warum muss ein Bescheid dem Grundsatz der Verhältnismäßigkeit entsprechen?;single;Weil andernfalls der Bescheid automatisch nichtig ist, unabhängig vom Inhalt.;Weil der Verhältnismäßigkeitsgrundsatz als Ausprägung des Rechtsstaatsprinzips aus Art. 20 Abs. 2 und 3 GG die Abwägung zwischen Freiheitsrechten des Bürgers und Allgemeinwohl verlangt.;Weil der Grundsatz nur im einfachen Gesetzesrecht geregelt ist und daher immer vorrangig anzuwenden ist.;Weil die Verwaltung ansonsten keine Ermessensentscheidungen treffen dürfte.;B;Der Verhältnismäßigkeitsgrundsatz als Teil des Rechtsstaatsprinzips verlangt, dass Eingriffe einem legitimen Zweck dienen und nicht weiter gehen als zur Wahrung des Allgemeinwohls erforderlich.
VwVfG;Welche Prüfschritte umfasst die klassische Verhältnismäßigkeitsprüfung eines hoheitlichen Eingriffs?;single;Zuständigkeit, Formwirksamkeit, Begründung, Rechtsbehelf;Legitimer Zweck, Geeignetheit, Erforderlichkeit, Angemessenheit;Tatbestand, Rechtsfolge, Ermessensausübung;Zulässigkeit des Rechtsbehelfs, Begründetheit, Kostenentscheidung;B;Die Verhältnismäßigkeit wird in vier Stufen geprüft: legitimer Zweck, Geeignetheit, Erforderlichkeit und Angemessenheit der Maßnahme.
VwVfG;Wann ist eine behördliche Maßnahme im Sinne des Verhältnismäßigkeitsgrundsatzes geeignet?;single;Wenn sie den angestrebten Zweck zumindest fördern kann.;Wenn sie von allen denkbaren Maßnahmen die mildeste ist.;Wenn sie weder den Bürger noch die Allgemeinheit belastet.;Wenn sie von der zuständigen Behörde in Schriftform erlassen wurde.;A;"Geeignet ist eine Maßnahme, wenn mit ihr der verfolgte Zweck überhaupt erreicht oder zumindest gefördert werden kann; offensichtlich untaugliche Maßnahmen sind ungeeignet."
VwVfG;Was beschreibt die Erforderlichkeit einer Maßnahme im Rahmen der Verhältnismäßigkeitsprüfung am besten?;single;Es muss immer das kostenintensivste Mittel gewählt werden, um den Zweck sicher zu erreichen.;Es ist das Mittel zu wählen, das von mehreren gleich geeigneten Maßnahmen den Einzelnen und die Allgemeinheit am wenigsten beeinträchtigt.;Es genügt, dass der Zweck mit irgendeinem Mittel erreicht werden kann, die Belastung ist unerheblich.;Die Maßnahme ist nur erforderlich, wenn sie vom Betroffenen beantragt wurde.;B;Erforderlich ist eine Maßnahme, wenn es kein anderes gleich geeignetes Mittel gibt, das den Betroffenen und die Allgemeinheit weniger belastet.
VwVfG;Wann ist eine Maßnahme im Sinne des Verhältnismäßigkeitsgrundsatzes angemessen (verhältnismäßig im engeren Sinne)?;single;Wenn die Nachteile für den Betroffenen erkennbar nicht außer Verhältnis zum angestrebten Zweck stehen.;Wenn die Behörde die Maßnahme im Rahmen einer Ermessensnorm getroffen hat.;Wenn die Maßnahme schriftlich begründet wurde.;Wenn sie für die Behörde organisatorisch einfach umzusetzen ist.;A;Angemessen ist eine Maßnahme, wenn die Schwere des Eingriffs nicht außer Verhältnis zum Gewicht und zur Dringlichkeit des verfolgten Zwecks steht.
VwVfG;Wie lässt sich die Befristung von der Bedingung nach § 36 Abs. 2 VwVfG NRW zutreffend abgrenzen?;single;Bei der Befristung hängt die Wirksamkeit vom Eintritt eines ungewissen Ereignisses ab, bei der Bedingung wird ein fester Zeitpunkt bestimmt.;Bei der Befristung wird Beginn oder Ende der Wirksamkeit kalendermäßig festgelegt, bei der Bedingung hängt die Wirksamkeit vom Eintritt eines ungewissen Ereignisses ab.;Befristung und Bedingung sind zwei Bezeichnungen für dasselbe Institut.;Eine Befristung ist nur bei belastenden Verwaltungsakten möglich, eine Bedingung nur bei begünstigenden Verwaltungsakten.;B;"Die Befristung legt den zeitlichen Geltungszeitraum des Verwaltungsakts durch Datum oder Zeitraum fest; die Bedingung knüpft die Wirksamkeit an ein ungewisses künftiges Ereignis (aufschiebend oder auflösend)."
VwVfG;A erhält eine Gaststättenerlaubnis. Im Bescheid steht: „Der Betrieb der Gaststätte ist nur zulässig, wenn vor Eröffnung eine Fettabscheideranlage installiert ist.“ Die Erlaubnis wird erst mit Nachweis der Anlage wirksam. Welche Nebenbestimmung liegt vor?;single;Auflage;Befristung;Bedingung;Widerrufsvorbehalt;C;"Die Wirksamkeit des Verwaltungsakts hängt vom Eintritt eines ungewissen Ereignisses (Installation der Anlage) ab; es handelt sich daher um eine aufschiebende Bedingung nach § 36 Abs. 2 Nr. 2 VwVfG."
VwVfG;"A erhält eine immissionsschutzrechtliche Genehmigung; der Bescheid enthält: „Der Betreiber hat innerhalb von sechs Monaten nach Inbetriebnahme ein Lärmgutachten vorzulegen.“ Die Genehmigung ist sofort wirksam. Welche Nebenbestimmung ist das?";single;Auflage;Bedingung;Widerrufsvorbehalt;Auflagenvorbehalt;A;"Der Verwaltungsakt ist sofort wirksam und es wird ein bestimmtes Tun (Vorlage eines Gutachtens) gefordert; das ist eine Auflage i.S.v. § 36 Abs. 2 Nr. 4 VwVfG."
VwVfG;Woran erkennt man einen Auflagenvorbehalt i.S.v. § 36 Abs. 2 Nr. 5 VwVfG NRW?;single;Daran, dass der Verwaltungsakt nur für einen bestimmten Zeitraum gilt.;Daran, dass der Verwaltungsakt nur unter der Voraussetzung eines ungewissen Ereignisses wirksam wird.;Daran, dass die Behörde sich ausdrücklich vorbehält, später Auflagen zu erlassen oder zu ändern.;Daran, dass die Behörde den Verwaltungsakt jederzeit ohne Begründung zurücknehmen kann.;C;"Beim Auflagenvorbehalt kündigt die Behörde rechtserheblich an, dass sie später noch Auflagen erlassen oder bestehende Auflagen ändern kann; so wird schutzwürdiges Vertrauen in den unveränderten Bestand des Verwaltungsakts ausgeschlossen."
VwVfG;Welche der folgenden Konstellationen sind typische Beispiele für eine Auflage im Sinne des § 36 Abs. 2 Nr. 4 VwVfG NRW?;multi;Eine Baugenehmigung wird nur wirksam, wenn zuvor eine Baulast eingetragen wird.;In einer Erlaubnis wird vorgeschrieben, dass der Betreiber regelmäßig Messberichte vorzulegen hat.;Eine Gaststättenerlaubnis enthält die Anordnung, einen zweiten Notausgang herzustellen.;Im Genehmigungsbescheid steht, dass später zusätzliche Nebenbestimmungen angeordnet werden können.;"B;C";"Auflagen verlangen ein bestimmtes Tun, Dulden oder Unterlassen bei einem bereits wirksamen Verwaltungsakt. Die Pflicht zur Vorlage von Messberichten und die Pflicht zur Herstellung eines Notausgangs sind typische Auflagen; A ist eine Bedingung, D ein Auflagenvorbehalt."
